wavelength,mKate2
560,0.00553
561,0.0057
562,0.00626
563,0.00697
564,0.00792
565,0.00915
566,0.01044
567,0.0119
568,0.01342
569,0.01572
570,0.01804
571,0.0207
572,0.02387
573,0.02679
574,0.03084
575,0.03555
576,0.0407
577,0.04586
578,0.05102
579,0.05818
580,0.06521
581,0.07347
582,0.08306
583,0.0927
584,0.10383
585,0.11635
586,0.13
587,0.14368
588,0.15873
589,0.17766
590,0.1962
591,0.2155
592,0.23846
593,0.25781
594,0.28146
595,0.30794
596,0.33542
597,0.36638
598,0.39064
599,0.42015
600,0.45051
601,0.48008
602,0.5115
603,0.543
604,0.57363
605,0.60169
606,0.62892
607,0.65833
608,0.68543
609,0.71393
610,0.74234
611,0.76798
612,0.79165
613,0.8111
614,0.83181
615,0.85377
616,0.87453
617,0.89242
618,0.90513
619,0.91982
620,0.93447
621,0.94477
622,0.95501
623,0.96591
624,0.97112
625,0.97816
626,0.98209
627,0.98594
628,0.98937
629,0.99168
630,0.99617
631,0.9986
632,0.99908
633,1
634,0.99887
635,0.99716
636,0.99893
637,0.99686
638,0.99255
639,0.98755
640,0.98209
641,0.97785
642,0.9745
643,0.97059
644,0.96361
645,0.957
646,0.95233
647,0.94809
648,0.93825
649,0.92906
650,0.92026
651,0.91272
652,0.90347
653,0.89309
654,0.88146
655,0.87282
656,0.86457
657,0.85509
658,0.84737
659,0.83601
660,0.82475
661,0.81503
662,0.80397
663,0.79415
664,0.78278
665,0.77223
666,0.76486
667,0.75199
668,0.73857
669,0.72521
670,0.71565
671,0.7007
672,0.69109
673,0.68074
674,0.66775
675,0.65548
676,0.64189
677,0.62782
678,0.6161
679,0.60345
680,0.58908
681,0.57565
682,0.56551
683,0.55357
684,0.54133
685,0.52971
686,0.52001
687,0.50925
688,0.50024
689,0.49182
690,0.4839
691,0.47605
692,0.46737
693,0.46246
694,0.45505
695,0.44742
696,0.43991
697,0.43362
698,0.43004
699,0.42296
700,0.41686
701,0.4113
702,0.4062
703,0.39821
704,0.39224
705,0.38687
706,0.38273
707,0.37644
708,0.37114
709,0.36434
710,0.35871
711,0.35293
712,0.34683
713,0.34173
714,0.33716
715,0.33064
716,0.32576
717,0.31955
718,0.31407
719,0.30888
720,0.30327
721,0.29763
722,0.2915
723,0.28643
724,0.28084
725,0.27394
726,0.26798
727,0.26206
728,0.25655
729,0.25078
730,0.24554
731,0.24082
732,0.2364
733,0.23243
734,0.22682
735,0.22059
736,0.21575
737,0.21016
738,0.20551
739,0.20154
740,0.19752
741,0.19329
742,0.18952
743,0.18551
744,0.18091
745,0.17737
746,0.17372
747,0.17038
748,0.16605
749,0.16266
750,0.15852
751,0.15592
752,0.15176
753,0.148
754,0.14533
755,0.14104
756,0.13871
757,0.13543
758,0.13193
759,0.12807
760,0.1256
761,0.12278
762,0.12004
763,0.11649
764,0.11407
765,0.11083
766,0.10805
767,0.10548
768,0.10305
769,0.10051
770,0.09863
771,0.09579
772,0.09397
773,0.09102
774,0.08943
775,0.08739
776,0.08517
777,0.08289
778,0.08042
779,0.07816
780,0.07648
781,0.07542
782,0.0732
783,0.07173
784,0.07006
785,0.06852
786,0.06739
787,0.06578
788,0.0642
789,0.06238
790,0.06073
791,0.05921
792,0.05755
793,0.05646
794,0.05514
795,0.0535
796,0.0521
797,0.05072
798,0.04982
799,0.04857
800,0.04719
